date,event,category,status
2012-08-15,RA 10173 — Data Privacy Act signed,Legislation,Foundational
2016-09-02,RA 10844 — DICT created,Legislation,Foundational
2019-05-01,Philippines joins OECD AI Policy Observatory,International,Declaratory
2021-05-01,DOST AI National Roadmap released,Strategy,Foundational
2021-06-01,NAISR 1.0 — National AI Strategy Roadmap by DTI,Strategy,Foundational
2024-02-01,ASEAN Guide on AI Governance and Ethics adopted,International,Declaratory
2024-07-01,NAISR 2.0 released — includes GenAI and ethics,Strategy,Updated
2024-09-01,UNESCO AI Readiness Assessment begins (Luzon-Visayas-Mindanao),International,Assessment
2025-01-01,ASEAN Expanded Guide (Generative AI) published,International,Guidance
2025-03-01,ASEAN Responsible AI Roadmap 2025-2030 adopted,International,Roadmap
2025-09-05,RA 12254 — E-Governance Act signed,Legislation,Enacted
2025-10-01,RA 12254 effective date,Legislation,Effective
2025-11-28,UNESCO AI Readiness Assessment Report completed,International,Published
2026-01-01,Philippines assumes ASEAN Chairmanship,International,Leadership
2026-01-30,SONAI 2026 — State of the Nation in AI,Event,Strategic
2026-03-24,DICT orders Grok takedown (lifted after compliance),Enforcement,Reactive
2026-04-30,DEPDev announces AI Governance Framework — 2 months to finalize,Strategy,In Progress
